1,220363_s_at,222234_s_at,208937_s_at,243296_at,225796_at,207624_s_at,218952_at,235711_at,226345_at,201361_at
1,8.5214,7.9533,12.783,11.406,9.6953,7.6394,8.7394,8.2246,10.723,10.797
1,8.8811,7.8901,8.9889,9.2712,11.319,7.8024,6.9184,7.8187,10.163,11.033
-1,8.3627,9.2409,10.418,9.9462,7.6813,7.3751,9.6734,7.4574,10.678,9.8533
1,8.8137,7.2134,10.559,10.358,10.416,8.187,8.2433,7.9697,10.459,11.031
1,8.766,8.9655,7.9313,8.2771,11.542,8.7487,7.0306,8.9661,9.6565,10.501
1,8.852,7.9868,7.2176,9.9282,9.5503,8.2335,7.0082,8.0977,10.746,10.367
1,8.2965,8.1601,14.533,8.5845,11.225,8.1709,9.1017,7.696,10.397,9.5565
1,8.7623,6.0477,11.168,7.7035,10.345,5.8601,5.8592,7.9178,10.787,10.514
-1,8.5346,8.9994,12.491,8.0641,10.48,8.0575,9.7334,7.9214,10.718,9.8602
1,8.7983,8.5929,11.507,8.5677,10.807,7.8886,9.4137,7.8807,9.7692,10.599
-1,7.9943,9.5919,11.166,8.8279,10.271,9.0274,7.482,6.9888,10.575,9.5237
-1,7.9872,7.4774,11.252,7.4543,7.317,8.6111,7.6571,7.2067,10.406,9.9133
-1,7.905,9.293,14.142,9.3998,8.6533,7.7074,7.393,8.2862,11.277,9.9919
-1,8.0051,9.5471,14.932,8.6626,9.2094,8.2293,8.0346,7.6994,10.924,9.9261
-1,8.2112,8.8258,13.625,8.6002,9.3802,8.2111,8.1766,7.8309,11.524,9.8657
-1,8.4296,8.3721,12.732,8.9527,6.8162,7.735,7.4266,8.0824,11.102,9.8147
-1,8.1055,7.5608,12.989,7.562,8.0769,8.1907,7.8051,7.2301,10.599,9.827
-1,8.2122,8.0006,12.547,8.0746,8.5216,9.2774,9.6423,7.7041,11.369,10.009
-1,7.8624,9.3631,14.352,10.285,8.3229,9.074,10.009,5.9638,10.707,10.147
-1,8.0128,9.2498,14.774,8.8587,8.3308,6.6173,8.0797,7.6875,11.754,10.009
-1,8.35,8.6528,14.311,7.8667,9.859,7.2522,9.2983,7.2201,10.966,10.317
1,8.7752,7.3836,10.722,11.371,10.967,8.1807,9.1154,8.311,11.075,10.491
1,8.068,7.6582,12.856,11.855,9.5782,7.338,9.3265,6.9472,11.113,10.959
-1,9.5442,8.7713,14.195,7.9724,7.4467,7.5804,10.632,8.5545,11.445,9.9121
-1,8.5857,9.2677,14.549,7.6924,8.0348,6.6735,7.9604,6.5721,11.737,10.562
1,8.5154,7.5128,13.511,11.632,10.041,9.2983,7.2313,7.8039,9.9818,10.153
-1,8.1047,8.7904,13.435,8.2182,7.8606,8.0381,11.182,7.5929,12.383,10.406
1,8.6275,6.3914,7.3904,7.8504,11.056,9.1193,6.2918,7.1477,11.32,10.727
1,8.6235,6.279,6.117,9.3545,12.332,9.0899,7.858,7.9428,10.411,10.858
-1,7.5051,8.5697,10.708,9.4577,9.3553,7.6107,7.5483,6.9405,11.236,9.4251
1,8.6425,5.2648,6.111,9.4382,10.814,8.9792,7.6464,7.8942,11.061,10.39
-1,8.3514,4.9895,7.7653,10.362,9.0192,7.9464,7.0189,6.992,10.689,11.573
1,8.3429,7.3696,10.222,10.238,9.8722,8.2228,7.4945,8.5591,10.364,10.325
-1,8.4566,6.4021,12.993,9.0314,9.2961,8.3863,7.4685,8.0588,10.365,11.085
-1,8.4728,7.8891,9.5474,9.4723,9.8578,9.0514,7.5206,7.3656,10.619,10.791
1,8.8879,9.9475,6.2453,9.9375,8.9636,7.4199,7.5598,6.2922,10.327,9.9524
1,8.901,7.3274,7.9889,10.596,10.922,9.3197,7.7543,8.3378,10.387,10.532
-1,8.3911,8.184,10.193,7.9613,9.7753,9.082,7.6861,9.4108,10.641,10.227
-1,7.8515,9.0375,8.4245,9.0717,9.5014,7.6344,8.7528,7.0971,9.5929,9.675
1,8.2715,8.5751,8.6271,8.31,9.3115,8.4723,9.8091,8.4234,9.3182,10.297
-1,9.0344,9.2235,5.8601,8.3072,9.0504,8.1991,6.627,7.8683,10.336,9.6911
1,8.7157,8.427,9.688,9.4326,10.145,8.841,7.0285,7.9805,9.8165,10.177
-1,8.916,8.6287,13.725,7.1118,9.7942,7.6018,9.7741,6.7997,11.072,10.691
-1,8.3966,8.5531,10.949,7.4467,8.5753,7.7801,9.626,7.1889,10.99,10.578
-1,8.6786,7.9111,12.505,7.6535,8.4654,7.1791,8.9926,8.8051,10.69,9.4176
-1,8.2497,8.2008,12.925,9.7968,10.867,5.6309,9.3341,8.1261,10.884,10.252
-1,8.51,8.1004,13.08,8.8563,7.7318,7.7807,6.6144,7.8859,10.408,10.846
-1,8.3124,8.1602,11.526,7.7838,9.204,7.7165,8.9537,5.5878,11.07,10.445
-1,8.4576,8.5833,13.641,7.661,10.21,7.4371,9.8763,7.3222,11.075,9.9657
1,8.0146,9.3364,13.509,12.064,9.2773,7.2431,9.4878,7.2375,10.448,10.155
1,7.832,8.8951,9.907,9.8191,10.09,9.0782,10.415,7.7889,10.349,10.092
1,8.0589,6.9138,10.695,9.2334,10.131,8.183,6.1636,7.1047,10.781,10.349
-1,8.5619,7.9851,10.759,9.0505,8.8085,8.5729,8.8954,7.7534,11.166,9.9078
-1,8.2145,8.6001,9.7858,9.0564,8.8307,7.5752,6.5936,6.8252,10.589,9.8308
-1,7.8673,8.5989,13.636,9.6506,8.3834,7.0243,8.8395,5.9372,11.232,9.9914
-1,8.3237,7.6813,7.9699,9.5438,9.4777,7.1697,6.6766,7.2007,10.738,10.481
-1,8.3416,7.3378,12.792,7.8333,8.896,7.0684,8.3268,8.0751,10.992,10.394
-1,8.3075,9.0606,13.864,9.4891,9.6319,6.9927,9.7255,8.4026,10.978,9.8896
-1,8.3727,8.7579,11.06,8.3215,10.045,6.4329,8.7429,7.1445,10.99,10.067
