1,36711_at,227870_at,202508_s_at,228181_at,201184_s_at,206833_s_at,213001_at,215821_x_at,232700_at,213004_at,205619_s_at,224740_at,227251_at,215238_s_at,225686_at,205193_at,226379_s_at,233881_s_at,231312_at,201758_at
-1,13.056,5.6242,7.3535,7.0655,10.479,8.5257,5.0956,8.7112,6.2187,6.1042,6.8688,12.657,7.2709,7.0405,10.154,10.592,7.3318,7.3028,6.5207,10.872
-1,13.658,7.9929,4.9066,7.4885,10.305,9.2009,9.2856,9.3469,6.6833,9.7042,3.917,12.436,7.1221,7.1441,8.9337,11.095,7.3197,7.9104,7.3937,11.71
-1,8.6905,6.8171,7.966,8.1392,11.13,8.5293,6.4499,5.2344,7.3941,6.4961,4.5512,12.789,8.1221,7.0251,10.576,8.0221,6.9361,6.8513,8.3412,11.508
-1,12.277,8.6865,5.8447,8.1768,10.392,9.7228,9.0538,8.2662,6.8083,8.8163,4.5543,12.564,7.6659,8.6144,11.617,10.022,6.9846,8.1579,6.6337,12.138
-1,7.8314,4.6268,3.7941,7.8372,9.9124,8.3515,6.5899,7.5414,7.4753,6.1784,3.8656,12.731,8.9077,7.0708,10.144,7.4829,7.853,7.8163,6.5528,11.809
1,11.059,8.0678,5.4936,6.6378,10.481,9.0939,7.8883,9.5496,6.6404,7.5481,9.1737,11.864,7.498,8.0101,12.087,8.9482,6.5676,8.6326,6.4781,11.924
1,10.783,6.5824,7.9511,6.9107,11.081,9.5269,10.769,7.7287,6.5796,10.779,4.3631,12.847,7.6593,6.0263,11.817,8.7691,6.7673,7.7207,6.7522,11.357
1,8.8305,9.7763,8.0074,5.9494,11.186,8.4741,9.9479,5.7354,7.5305,9.7506,7.71,12.225,8.205,5.3957,11.356,8.1653,5.6811,7.8172,5.9326,11.208
1,10.726,7.3588,5.1004,6.3859,10.862,9.6467,8.943,5.7704,7.2206,8.8869,4.6621,12.153,7.6275,6.8205,11.748,8.9058,6.6625,7.4809,6.4868,11.184
1,11.002,8.7141,8.1207,4.7778,10.997,9.4191,10.174,7.3495,7.1309,9.8748,5.6592,12.125,7.8411,7.0167,11.121,8.7423,6.6646,7.4203,6.573,11.287
1,11.137,9.8859,7.4253,4.7401,11.286,9.322,9.3419,6.9189,7.0189,9.0077,4.3849,12.482,7.8194,7.0878,10.816,9.241,6.8605,7.8139,6.4955,11.422
-1,9.0906,5.8862,1.1016,9.4536,11.035,8.9008,5.4155,6.0476,7.4586,6.3813,4.7793,13.253,7.704,8.0587,10.489,7.9804,8.1371,8.1742,7.2526,11.862
-1,11.321,4.1786,3.4519,8.4612,10.62,9.7201,5.5384,7.6128,6.6783,5.9964,3.4745,12.912,7.2476,7.0826,10.391,9.2902,7.4035,7.9381,7.9025,12.136
-1,11.078,7.0168,5.6425,6.1408,11.57,10.341,5.4841,6.2571,7.9216,6.9483,4.5048,12.736,7.811,7.7172,10.474,9.0328,7.366,8.1749,7.321,11.922
-1,12.335,3.7044,2.5698,7.8452,11.193,9.862,6.6423,6.5816,7.1547,6.7715,4.5989,12.896,7.7999,7.4121,10.782,10.073,7.6765,7.9843,7.2295,12.123
-1,12.053,4.0326,4.0874,8.6729,11.045,10.191,6.2324,6.6188,7.0528,6.4739,3.8571,12.888,7.474,7.5625,9.2453,9.9267,7.556,8.1495,5.7452,12.657
-1,10.63,6.2615,5.0347,8.0876,10.999,10.206,5.7837,6.8887,6.8162,6.768,4.8084,12.731,7.376,7.4184,10.735,8.6864,7.0539,7.2284,7.4863,11.789
-1,11.55,9.1051,6.0045,7.5667,11.799,9.7353,7.6301,6.0353,7.0408,6.7332,4.9159,12.866,8.1709,7.4037,9.9882,9.5226,7.5818,8.0189,5.9441,12.449
-1,9.9648,7.6435,11.247,9.1953,10.417,9.3463,5.903,7.8543,7.4121,6.1663,4.1847,12.681,7.8748,7.0401,10.832,8.1307,6.4559,7.9661,7.4984,12.252
-1,9.8571,5.4341,10.239,9.0085,10.534,9.3368,6.3537,7.3679,7.1616,6.3683,4.821,11.864,8.2372,7.5102,10.034,8.321,7.0813,7.603,6.8244,11.901
1,10.924,6.9651,10.735,8.646,11.011,9.7555,9.5685,7.1215,7.2546,9.1096,3.7336,11.309,8.2033,5.6466,11.133,8.7893,6.0708,7.5932,7.0258,12.212
-1,12.65,9.6053,8.454,10.657,10.773,9.0807,12.229,7.5356,7.1595,11.868,4.7768,12.278,7.7295,6.1933,10.512,10.358,6.8196,8.1302,6.6813,11.96
-1,11.825,6.1319,7.5461,7.9529,10.417,9.6602,6.4766,11.833,6.9115,6.2581,3.8777,12.753,7.8636,7.932,10.678,9.8519,7.6851,8.2844,6.9187,12.162
1,10.906,7.4072,9.1012,6.3569,11.244,9.7446,6.6755,6.2906,7.3578,5.4983,6.432,12.121,8.2036,4.8832,10.27,9.0767,7.3444,6.9517,6.8932,11.767
-1,11.426,5.0786,8.2705,8.4806,10.736,9.6175,4.9478,7.595,7.6431,6.1667,6.5623,12.413,7.9065,7.3215,10.485,9.5238,7.2512,7.6843,7.687,11.904
1,8.4338,7.5962,7.7015,9.8301,11.005,8.6639,5.1535,6.1038,6.7886,6.0911,5.0673,12.927,7.9233,5.3584,10.1,7.5985,7.1567,7.2298,6.7968,12.046
1,10.994,10.113,4.7929,5.5969,10.723,8.2829,7.0506,6.7086,6.5859,6.5728,4.0464,12.823,8.2927,5.952,11.796,9.2122,7.3856,7.4272,7.7052,12.483
1,7.5249,3.7115,4.8329,7.2482,11.918,8.7495,7.9415,5.3141,7.9188,7.9998,3.9923,12.142,8.4009,7.2747,11.46,7.3893,7.5671,7.3177,6.6154,11.003
1,7.9318,3.6468,3.8095,7.5482,11.918,9.4416,7.0161,5.3433,7.4196,6.56,3.9566,11.962,7.2893,5.6973,10.589,6.8861,7.7245,7.9109,7.8625,11.352
-1,10.805,6.7347,2.7879,7.9544,11.223,8.5711,5.2929,5.9265,6.7505,5.5757,4.1422,12.559,7.5024,7.2759,10.745,8.984,7.9129,7.4075,7.6242,11.864
1,8.2895,6.1376,3.8209,5.1276,11.806,9.7514,6.983,6.911,7.8738,6.6578,4.6585,10.897,8.1526,7.2582,10.906,7.7405,7.8596,7.5474,6.2348,11.118
-1,10.633,4.8153,4.6738,9.3419,11.297,9.9508,6.3339,6.0215,6.2192,6.2216,4.4158,12.965,7.3839,6.5069,10.254,8.9195,7.6726,7.5568,7.1943,11.284
1,8.2837,5.709,3.5669,9.0795,11.357,10.806,6.6925,7.1962,7.641,5.7688,3.5805,12.999,8.9306,6.6835,10.415,8.0703,7.8184,7.6915,6.2278,11.744
