1,243862_at,220020_at,238028_at,233001_at,221496_s_at,206474_at,221954_at,232360_at,229325_at,202027_at,202648_at,224939_at,219180_s_at,220266_s_at,200053_at,202497_x_at,202179_at,200810_s_at
-1,5.1766,9.1104,5.0112,7.5718,8.9132,7.604,10.11,5.1161,10.103,10.179,6.7921,11.011,8.414,9.9193,10.637,6.1416,8.3757,10.981
-1,4.8813,9.5362,5.9915,7.012,9.1126,7.1299,9.3129,5.2067,9.7749,11.45,6.4408,11.18,8.2601,9.3312,11.023,4.2011,9.7687,11.55
1,7.9374,9.0679,7.4333,7.75,8.8755,8.199,10.698,6.3007,9.3457,9.3989,6.4483,11.09,8.2157,5.6676,12.185,4.5323,8.7903,13.429
-1,3.7092,8.4331,7.9245,7.6729,8.3934,8.0364,9.6526,7.8036,9.4485,10.549,6.3162,11.034,8.0236,8.6163,10.902,10.166,9.6497,11.213
-1,7.6257,9.4859,8.3001,7.8793,9.1772,8.1443,9.0509,9.4179,8.8387,9.9716,7.5284,11.214,8.3671,7.0793,11.517,4.4937,9.0722,12.814
-1,5.2099,8.1951,5.4155,7.9223,8.6286,8.1767,9.8917,3.6768,9.1533,9.9192,7.5892,11.297,7.8482,6.6898,11.224,10.845,10.055,12.111
1,5.4059,8.9824,5.0883,7.2656,8.9274,8.3285,8.8827,5.8729,9.1567,11.063,6.5003,11.967,8.1602,8.5868,10.67,9.925,11.159,12.772
-1,5.6241,8.8646,4.8801,7.2059,8.9063,7.7756,9.3141,3.8416,10.012,10.124,6.6931,11.795,8.2696,7.8016,10.176,9.7236,9.6812,11.259
1,4.1305,7.9829,5.4657,7.4999,7.8934,7.9798,9.308,4.6867,9.1643,9.9779,7.6886,11.322,8.2616,6.6056,11.165,10.127,10.065,11.81
-1,5.2453,8.3329,5.4399,5.9284,8.6641,7.6616,9.7683,4.3918,9.5241,10.724,5.2107,11.331,8.2517,7.9429,10.65,9.7603,9.4308,11.786
1,3.9626,8.1417,6.0971,6.5839,8.5382,7.9336,8.8601,5.6257,9.6468,10.257,5.9117,11.431,8.4473,8.2203,11.637,10.615,10.065,12.737
-1,7.7383,8.9928,9.9436,8.0513,8.3469,7.0779,8.9801,8.7841,8.846,9.0104,6.6817,11.741,8.4425,7.7698,10.77,3.4881,9.8869,10.459
-1,7.3303,9.9102,7.8582,7.8789,9.8679,7.188,9.1217,8.7012,8.6907,9.3543,7.5324,11.246,8.023,9.7492,11.604,5.732,8.9813,11.665
-1,5.2908,9.5236,6.7794,7.2599,9.9748,8.0887,8.8425,7.3826,9.4696,10.43,6.6658,11.086,8.3067,9.5712,11.242,4.8254,9.8837,12.954
-1,8.7103,9.2167,7.7852,7.9975,9.5832,7.6428,9.3417,8.0344,9.4307,9.6169,6.8924,11.538,8.3625,9.1618,11.539,11.504,9.598,12.767
-1,9.2594,8.2524,8.1593,8.054,9.1295,7.6956,9.4437,8.9831,9.3533,10.264,7.6253,11.576,7.9734,9.3123,10.702,4.7771,7.8262,10.269
