1,218719_s_at,238821_at,235441_at,212517_at,218249_at,1552507_at,227270_at,240698_s_at,213115_at,210273_at
-1,8.9995,7.7464,7.2423,9.217,10.08,5.7855,9.7351,8.6116,8.3705,6.7788
1,7.5839,6.6275,7.321,9.9991,10.943,9.0122,11.039,7.8257,8.0566,8.1652
1,8.3846,8.706,7.5541,9.5298,10.989,5.9729,8.9415,8.3587,9.1214,6.3186
-1,8.5197,8.0315,8.2726,9.642,11.256,3.9116,9.5893,8.7743,8.6495,5.8546
-1,7.8628,6.8076,6.4642,10.573,9.8776,6.3674,8.4318,8.492,9.0295,6.6015
-1,8.2651,8.1958,7.6723,9.7619,10.721,7.9944,9.6006,8.5256,8.829,5.9871
-1,9.6121,7.7905,7.2349,9.9282,10.064,7.3036,8.7599,8.335,9.3672,6.374
1,8.7774,7.7181,8.3332,9.6227,11.189,8.6124,8.518,8.0523,8.8495,6.1694
1,9.321,7.7789,7.8509,10.169,10.708,8.6533,9.1307,8.4541,9.6148,6.4595
1,9.0079,8.0291,7.7405,9.9267,10.997,8.5039,9.1694,8.3506,9.404,6.2542
1,8.8454,7.8883,8.1816,10.157,10.711,8.1712,8.2721,8.367,8.9952,6.1263
1,9.0437,8.5072,7.7629,8.3286,11.588,5.2963,8.1077,8.7851,9.1659,5.9326
1,9.469,8.3773,7.8815,8.5707,11.302,6.1693,8.6693,9.0372,9.4093,5.3855
-1,8.9713,8.0446,7.4257,9.9776,12.184,4.7087,8.5726,7.7615,8.6603,10.463
-1,8.6872,7.6757,7.2544,10.203,10.382,5.0326,9.1498,7.8763,8.1513,6.9562
1,7.7427,8.0585,7.63,9.141,11.207,4.6974,8.1353,8.1492,8.4671,5.5234
1,8.9885,8.8369,7.9078,9.0099,10.374,5.1361,8.6107,7.8944,9.0652,6.0816
1,9.1014,9.0772,7.9812,9.8154,10.776,5.5297,9.0504,8.7136,8.9908,6.1193
-1,8.9194,8.0918,8.2382,10.061,10.852,6.1378,8.4312,7.8923,8.6291,6.1328
-1,8.0586,7.406,7.2698,10.378,10.404,4.5503,9.1744,7.847,8.1154,8.0207
-1,8.0513,7.8754,6.5263,10.224,9.6006,5.6452,9.3685,7.6447,8.5254,7.7766
-1,7.8969,7.6798,7.3516,9.5959,10.106,4.919,9.0916,7.9759,9.1332,6.5787
-1,7.9412,7.3868,7.2142,9.0846,9.9983,3.5003,10.32,8.071,8.8846,7.1634
-1,8.9854,7.9297,8.2983,10.232,10.554,4.7282,9.1564,8.5691,8.3807,8.372
-1,9.0452,7.4281,8.2679,9.2333,11.301,4.5441,10.312,8.257,8.4244,9.7652
1,9.8373,8.7274,7.7252,9.107,11.04,10.835,8.1071,8.5157,8.9474,6.5564
1,9.3266,8.2283,7.6656,9.2528,10.764,4.1842,8.621,8.989,9.0618,5.5935
1,9.5525,7.8285,8.3345,9.0599,11.125,5.5989,8.5474,8.4255,8.8428,5.8901
1,9.3991,8.5758,7.3124,9.2612,11.687,6.4438,8.5335,9.4194,9.0252,4.5682
1,8.9733,7.9562,8.4208,8.5592,10.197,6.2528,9.6391,8.9142,10.018,6.5404
1,9.4652,7.9854,8.0394,9.2037,11.282,6.0012,8.9138,9.0568,8.944,5.2018
-1,9.3512,7.5593,7.9712,9.2365,10.54,5.6757,6.1761,8.7437,9.9816,6.0048
-1,8.1655,7.3762,7.3778,8.8743,11.012,4.3977,8.3091,8.0262,8.8181,5.87
1,8.7974,8.3487,7.2661,9.3863,11.23,5.3751,8.2589,7.7859,8.6672,5.605
-1,9.3549,7.7947,8.1527,9.7144,10.918,5.9577,9.606,8.0471,9.0702,6.8193
-1,8.3149,7.9356,7.3904,10.343,10.745,3.8686,9.7192,7.6316,8.9784,8.4123
1,8.5447,8.7189,7.6735,9.6362,11.247,6.7153,8.9542,8.4581,10,4.0274
-1,9.3987,9.6431,7.6111,10.372,10.975,5.0954,10.817,7.75,9.3451,7.1575
-1,8.3745,7.4743,6.5838,10.584,10.473,3.3599,9.8588,7.7242,8.5145,6.4229
1,9.1376,7.6951,8.1041,9.6486,11.069,8.0524,8.2756,7.8262,8.6401,5.1847
-1,7.969,7.9924,7.3377,9.8901,10.295,4.9972,9.6518,7.4148,8.3899,7.9175
-1,8.1808,7.1676,7.1287,10.423,9.4771,7.7011,9.6262,7.6203,8.7422,8.2368
-1,8.6076,7.5948,7.3404,10.498,10.611,5.107,8.5151,7.694,8.0302,5.8802
-1,9.6391,7.818,7.3249,9.5023,9.7889,6.0023,9.7308,9.2221,8.6389,5.3426
1,8.2054,8.4957,8.0688,9.4666,10.644,4.9463,8.5218,8.6052,9.1677,7.1868
-1,8.129,8.1819,8.049,10.106,10.797,4.2554,8.2423,7.971,9.3956,7.3269
-1,8.7419,7.567,7.8196,10.012,10.827,4.8683,8.2646,7.8608,7.8359,8.9068
-1,8.9619,7.7981,7.0823,10.146,10.272,4.4563,9.385,9.1418,8.0984,6.3748
-1,8.5429,7.4876,6.975,10.487,10.924,4.6765,9.4765,7.6899,8.108,6.7013
-1,8.9736,7.0069,8.3396,9.5654,10.799,4.9051,9.7638,8.7465,8.2601,5.5707
-1,7.6051,8.3211,6.1967,10.114,10.481,3.9567,9.0921,9.2645,9.355,6.7197
-1,7.6135,6.9615,7.7589,9.7249,10.672,6.9778,9.5131,8.1425,7.2683,6.8786
-1,8.7966,6.8711,6.7285,8.9343,10.582,6.8172,9.9752,8.1329,9.4009,6.0427
-1,8.2564,7.2711,7.4476,9.4249,10.944,5.198,9.641,7.9842,7.7965,5.824
-1,7.9501,7.4317,7.1997,9.3687,10.481,3.6656,9.8003,8.0965,7.2411,7.2654
-1,8.7808,7.4534,7.8129,10.251,10.959,4.1958,9.1357,7.9962,7.5562,7.1578
-1,8.2747,7.6004,7.3961,9.4971,9.8323,5.6741,9.551,7.5964,7.9311,6.4346
-1,7.6532,7.231,8.0107,9.9864,10.726,5.668,9.5038,8.4521,7.9348,6.3421
-1,7.6268,7.5945,6.9639,9.8906,10.323,4.4933,10.716,7.3326,8.8406,6.3071
