1,219295_s_at,219616_at,202065_s_at,202825_at,226324_s_at,213317_at,224952_at,201927_s_at,228749_at,227929_at,220334_at,235747_at,215779_s_at,200886_s_at,211493_x_at,227256_at,209318_x_at,202610_s_at,226733_at,207002_s_at,222809_x_at,231040_at,207943_x_at,226743_at,204233_s_at,213764_s_at,217165_x_at,230158_at,1558569_at,221642_at,1552660_a_at,225634_at
1,10.348,6.3286,8.8494,9.8299,8.766,3.1922,8.7592,8.346,4.9192,5.7859,6.8639,8.635,7.1807,13.944,7.5174,10.361,9.8459,10.459,8.5124,9.8569,8.2983,5.4211,9.4472,8.9417,9.587,0.33924,11.998,7.5815,7.569,7.0365,9.9276,11.164
-1,9.4748,6.6994,9.2817,10.182,9.6365,4.7809,7.8206,9.7129,7.1281,6.1637,6.8091,8.8091,6.3232,13.066,6.384,8.1396,4.3231,9.846,8.5409,4.1011,9.4073,3.6252,3.7686,4.0387,10.39,9.3551,9.0492,1.7989,7.0117,7.3162,10.562,11.033
1,7.0203,9.4402,9.5366,10.31,8.5504,2.3867,11.056,10.211,7.7164,10.147,8.3035,8.5915,9.2548,12.797,7.6328,10.614,7.738,9.5521,6.9487,6.4395,10.092,5.5723,7.5945,4.2287,9.3355,1.2394,9.2057,4.3644,6.2849,6.8679,9.935,10.878
-1,7.6444,6.9047,9.4032,10.383,8.2251,9.1486,10.815,10.094,7.0531,3.3417,5.2132,8.3933,6.1484,14.091,6.3334,8.5567,3.5402,11.348,8.1736,4.2984,10.24,4.7792,3.8269,2.0824,11.239,2.0903,11.626,2.2534,7.6662,6.785,10.03,10.547
-1,5.4039,8.2865,9.4682,10.03,9.6116,3.5953,9.6948,9.7994,5.8556,5.9147,5.741,9.5641,10.159,13.572,7.5936,8.9975,4.8464,10.832,9.292,2.9301,9.1593,5.3396,6.0139,8.4465,10.578,3.5465,6.6526,5.6984,6.8386,7.0784,9.7156,10.577
-1,8.5807,9.0536,9.2662,10.293,9.3854,2.8554,10.552,9.8409,8.8411,8.1875,8.9247,8.1579,6.9003,13.751,7.019,9.9179,10.633,11.109,7.7752,9.7279,10.598,5.3582,9.8778,11.496,9.7961,5.755,10.665,7.8249,7.8671,7.0421,9.8403,10.559
1,8.9482,5.9308,8.4559,9.0928,8.7652,2.5007,10.386,8.344,8.0961,6.6105,9.7433,8.1757,7.7073,13.692,7.4317,9.9425,7.8295,10.191,8.0529,7.5674,8.1054,3.8946,7.9853,10.378,8.1702,2.2272,12.648,7.7703,6.3443,7.6464,9.2449,11.158
1,8.7585,7.9057,8.3483,9.5622,8.9626,4.9876,10.578,9.2601,9.16,8.171,8.252,8.4406,6.927,13.941,7.0468,10.282,10.549,9.1532,7.8114,10.261,8.334,5.6595,9.9899,10.291,8.9014,1.4169,9.2512,4.1313,6.958,6.7452,9.4184,11.083
1,7.836,8.8987,8.9113,10.556,9.4288,2.2306,10.664,9.3823,8.8953,8.2904,7.4224,8.5441,6.8679,14.133,7.4113,10.389,9.6742,10.663,7.7525,8.9317,8.7243,7.6382,8.9328,9.7202,9.129,4.0605,10.598,7.4442,7.9859,6.844,9.808,10.759
1,7.4566,6.7144,9.1104,9.9548,8.9729,4.8652,9.8637,8.6941,6.9745,7.0053,8.8316,8.5653,6.6307,13.694,6.9739,9.8627,10.014,10.669,7.8236,8.9564,9.8366,6.8763,8.8494,9.9931,8.2343,5.9615,9.0696,7.374,7.1644,7.0255,9.5835,11.339
1,8.0213,8.8085,9.0345,10.062,9.117,2.8792,10.937,8.7804,8.2938,8.1661,8.2294,8.7775,4.1709,14.232,7.413,10.194,10.071,10.389,8.2702,9.444,8.6696,8.9611,9.1496,9.7167,8.0709,0.36497,9.4131,7.8968,8.2235,7.5158,9.4356,11.533
-1,5.3213,5.9403,8.7246,10.333,10.592,5.0206,7.6377,8.5626,5.2462,4.6352,6.1428,8.2304,8.0625,13.43,6.6728,8.2574,5.205,10.431,11.261,2.6087,9.2218,3.7031,4.5633,2.6486,9.7312,2.381,8.0251,4.1152,7.5724,6.592,9.6003,10.427
-1,7.3825,6.2811,9.8169,10.453,9.7389,7.2972,6.5845,9.5744,5.6854,4.5654,5.3468,9.2148,8.919,13.734,6.9653,9.013,7.6315,11.045,9.1321,7.1791,9.2937,3.4869,7.7742,2.7656,9.2694,1.8868,4.9068,2.0322,7.3834,7.3049,9.8788,10.98
1,8.0012,7.01,9.1323,9.7285,8.0986,3.5861,10.239,8.8358,8.6136,6.2158,8.0939,8.6407,5.1172,13.688,7.8219,9.8445,10.315,9.934,8.0862,9.9656,9.1872,4.0399,9.6196,4.2093,9.8875,2.5223,10.889,4.607,5.9554,7.7855,9.3289,11.143
-1,6.819,5.9853,9.5361,10.449,9.0657,7.9523,8.3791,9.8818,4.7278,3.606,3.601,8.4704,6.4686,13.445,6.1381,8.9406,9.97,10.135,8.6854,10.131,9.3774,3.5051,9.7012,4.1365,9.7495,1.4759,9.3114,3.0145,5.8694,6.8364,10.032,11.282
-1,7.3867,6.4017,9.8765,9.3084,9.4531,9.273,8.038,10.182,5.4061,4.2199,5.0748,8.2828,7.6064,12.981,6.8938,9.3851,5.2484,10.066,8.8408,1.9046,9.37,4.1512,3.8944,3.4835,11.13,2.372,6.052,2.6798,7.5003,6.9877,9.4506,12.016
-1,5.1411,6.4985,9.7042,10.945,9.3094,2.7788,9.2557,9.6939,5.2489,3.3941,5.6208,8.7179,7.1951,13.536,5.5694,9.2539,9.1379,10.63,9.4492,9.1,9.5904,5.3924,9.3525,3.1071,10.47,0.26483,6.3322,4.1562,7.5305,7.4478,9.8245,10.886
-1,8.824,6.0785,9.3311,10.636,8.2681,8.8489,9.5678,9.7417,8.5082,3.411,3.7375,8.6525,7.4248,13.398,6.7923,9.2092,9.0844,10.86,8.34,9.1881,9.4059,2.3926,8.852,3.927,11.316,2.4209,9.1782,3.3006,7.8349,6.9576,9.9579,11.221
1,9.5635,6.4885,8.86,10.077,8.9664,3.2047,10.092,9.1323,7.854,8.4956,9.1241,8.1472,5.5925,14.1,6.9341,9.2534,9.2781,10.303,7.8248,9.5423,9.153,4.7286,9.0592,8.5168,9.5019,4.6386,10.143,5.59,5.2893,7.2645,8.9153,11.635
